Model,Format,Power (W),mJ/tok,T_GPU (C),T_CPU (C)
Qwen2.5-1.5B,HF bf16,16.2(0.0)/32.8(0.1),1092(4)/591(1),50.9(0.3)/55.9(0.1),54.2(0.4)/55.8(0.5)
Qwen2.5-1.5B,F16,35.4(0.1)/47.2(0.3),1142(3)/843(2),63.8(0.4)/65.2(0.4),63.9(0.5)/63.6(0.4)
Qwen2.5-1.5B,Q8_0,34.9(0.1)/37.3(0.2),672(2)/561(2),63.1(0.3)/58.3(1.0),63.2(0.3)/56.7(1.0)
Qwen2.5-1.5B,Q6_K,42.8(0.1)/55.7(0.5),676(2)/533(2),68.2(0.5)/69.6(0.5),67.2(0.5)/67.0(0.4)
Qwen2.5-1.5B,Q4_K_M,39.9(0.1)/47.0(0.4),509(1)/431(2),63.8(0.5)/62.0(0.6),62.9(0.5)/60.7(0.5)
Qwen2.5-3B,HF bf16,20.9(0.2)/34.1(0.1),1788(10)/1088(3),54.0(0.5)/56.7(0.4),56.8(0.5)/55.7(0.5)
Qwen2.5-3B,F16,41.5(0.1)/53.6(0.2),1812(3)/1399(4),65.4(0.4)/69.1(0.2),65.1(0.4)/67.0(0.2)
Qwen2.5-3B,Q8_0,39.0(0.1)/42.7(0.2),1209(2)/981(3),66.1(0.2)/62.1(0.4),66.1(0.3)/60.4(0.4)
Qwen2.5-3B,Q6_K,48.5(0.1)/50.4(0.2),1227(3)/1012(2),69.7(0.8)/66.5(0.3),68.3(0.9)/64.5(0.3)
Qwen2.5-3B,Q4_K_M,45.0(0.1)/53.5(0.3),903(2)/755(2),67.9(0.3)/67.2(0.5),66.8(0.3)/65.0(0.4)
Qwen2.5-7B,HF bf16,39.6(0.1)/37.8(0.1),3731(11)/2399(7),64.9(0.5)/59.5(0.3),66.0(0.6)/58.1(0.4)
Qwen2.5-7B,F16,43.5(0.0)/51.2(0.0),4068(4)/3000(5),67.7(0.3)/67.5(0.2),67.5(0.3)/65.5(0.2)
Qwen2.5-7B,Q8_0,42.5(0.1)/51.5(0.2),2462(7)/1864(7),65.4(1.0)/66.7(1.0),65.2(1.1)/64.7(1.0)
Qwen2.5-7B,Q6_K,54.8(0.1)/68.4(0.3),2559(4)/1983(7),70.4(0.3)/74.3(0.8),68.3(0.3)/71.8(0.8)
Qwen2.5-7B,Q4_K_M,52.3(0.1)/65.8(0.3),1867(4)/1493(4),71.6(0.3)/74.6(0.3),70.0(0.3)/72.5(0.4)
