key,task,target_input_tokens,actual_input_tokens_llama_3_2_1b
1,niah_single_1,1000,977
2,niah_single_1,1000,975
3,niah_single_1,1000,975
4,niah_single_1,1000,981
5,niah_single_1,1000,975
6,niah_single_1,1000,975
7,niah_single_1,1000,975
8,niah_single_1,1000,973
9,niah_single_1,1000,975
10,niah_single_1,1000,973
11,niah_multikey_2,1000,974
12,niah_multikey_2,1000,962
13,niah_multikey_2,1000,966
14,niah_multikey_2,1000,967
15,niah_multikey_2,1000,973
16,niah_multikey_2,1000,965
17,niah_multikey_2,1000,969
18,niah_multikey_2,1000,963
19,niah_multikey_2,1000,964
20,niah_multikey_2,1000,980
21,vt,1000,1046
22,vt,1000,1044
23,vt,1000,1042
24,vt,1000,1046
25,vt,1000,1044
26,vt,1000,1047
27,vt,1000,1046
28,vt,1000,1041
29,vt,1000,1042
30,vt,1000,1046
31,niah_single_1,3000,2963
32,niah_single_1,3000,2965
33,niah_single_1,3000,2967
34,niah_single_1,3000,2963
35,niah_single_1,3000,2969
36,niah_single_1,3000,2969
37,niah_single_1,3000,2967
38,niah_single_1,3000,2967
39,niah_single_1,3000,2971
40,niah_single_1,3000,2965
41,niah_multikey_2,3000,2968
42,niah_multikey_2,3000,2978
43,niah_multikey_2,3000,2949
44,niah_multikey_2,3000,2874
45,niah_multikey_2,3000,2972
46,niah_multikey_2,3000,2970
47,niah_multikey_2,3000,2956
48,niah_multikey_2,3000,2952
49,niah_multikey_2,3000,2972
50,niah_multikey_2,3000,2967
51,vt,3000,3061
52,vt,3000,3062
53,vt,3000,3060
54,vt,3000,3063
55,vt,3000,3059
56,vt,3000,3060
57,vt,3000,3060
58,vt,3000,3062
59,vt,3000,3060
60,vt,3000,3067
61,niah_single_1,5000,4959
62,niah_single_1,5000,4955
63,niah_single_1,5000,4961
64,niah_single_1,5000,4961
65,niah_single_1,5000,4959
66,niah_single_1,5000,4959
67,niah_single_1,5000,4959
68,niah_single_1,5000,4957
69,niah_single_1,5000,4959
70,niah_single_1,5000,4957
71,niah_multikey_2,5000,4974
72,niah_multikey_2,5000,4971
73,niah_multikey_2,5000,4954
74,niah_multikey_2,5000,4974
75,niah_multikey_2,5000,4970
76,niah_multikey_2,5000,4972
77,niah_multikey_2,5000,4542
78,niah_multikey_2,5000,4527
79,niah_multikey_2,5000,4538
80,niah_multikey_2,5000,4939
81,vt,5000,5050
82,vt,5000,5054
83,vt,5000,5060
84,vt,5000,5051
85,vt,5000,5054
86,vt,5000,5052
87,vt,5000,5054
88,vt,5000,5055
89,vt,5000,5053
90,vt,5000,5060
