sweep,key,task,target_tokens,Llama-3.2-1B,Llama-3.2-3B,Llama-3.1-8B,Qwen2.5-1.5B,Qwen2.5-3B,Qwen2.5-7B
S1,1,niah_single_1,1000,977,977,977,980,980,980
S1,2,niah_single_1,1000,975,975,975,978,978,978
S1,3,niah_single_1,1000,975,975,975,978,978,978
S1,4,niah_single_1,1000,981,981,981,984,984,984
S1,5,niah_single_1,1000,975,975,975,978,978,978
S1,6,niah_single_1,1000,975,975,975,978,978,978
S1,7,niah_single_1,1000,975,975,975,978,978,978
S1,8,niah_single_1,1000,973,973,973,976,976,976
S1,9,niah_single_1,1000,975,975,975,978,978,978
S1,10,niah_single_1,1000,973,973,973,976,976,976
S1,11,niah_multikey_2,1000,974,974,974,1181,1181,1181
S1,12,niah_multikey_2,1000,962,962,962,1169,1169,1169
S1,13,niah_multikey_2,1000,966,966,966,1173,1173,1173
S1,14,niah_multikey_2,1000,967,967,967,1174,1174,1174
S1,15,niah_multikey_2,1000,973,973,973,1180,1180,1180
S1,16,niah_multikey_2,1000,965,965,965,1172,1172,1172
S1,17,niah_multikey_2,1000,969,969,969,1176,1176,1176
S1,18,niah_multikey_2,1000,963,963,963,1170,1170,1170
S1,19,niah_multikey_2,1000,964,964,964,1171,1171,1171
S1,20,niah_multikey_2,1000,980,980,980,1188,1188,1188
S1,21,vt,1000,1046,1046,1046,1060,1060,1060
S1,22,vt,1000,1044,1044,1044,1058,1058,1058
S1,23,vt,1000,1042,1042,1042,1058,1058,1058
S1,24,vt,1000,1046,1046,1046,1060,1060,1060
S1,25,vt,1000,1044,1044,1044,1058,1058,1058
S1,26,vt,1000,1047,1047,1047,1061,1061,1061
S1,27,vt,1000,1046,1046,1046,1063,1063,1063
S1,28,vt,1000,1041,1041,1041,1055,1055,1055
S1,29,vt,1000,1042,1042,1042,1056,1056,1056
S1,30,vt,1000,1046,1046,1046,1060,1060,1060
S1,31,niah_single_1,3000,2963,2963,2963,2966,2966,2966
S1,32,niah_single_1,3000,2965,2965,2965,2968,2968,2968
S1,33,niah_single_1,3000,2967,2967,2967,2970,2970,2970
S1,34,niah_single_1,3000,2963,2963,2963,2966,2966,2966
S1,35,niah_single_1,3000,2969,2969,2969,2972,2972,2972
S1,36,niah_single_1,3000,2969,2969,2969,2972,2972,2972
S1,37,niah_single_1,3000,2967,2967,2967,2970,2970,2970
S1,38,niah_single_1,3000,2967,2967,2967,2970,2970,2970
S1,39,niah_single_1,3000,2971,2971,2971,2974,2974,2974
S1,40,niah_single_1,3000,2965,2965,2965,2968,2968,2968
S1,41,niah_multikey_2,3000,2968,2968,2968,3623,3623,3623
S1,42,niah_multikey_2,3000,2978,2978,2978,3633,3633,3633
S1,43,niah_multikey_2,3000,2949,2949,2949,3604,3604,3604
S1,44,niah_multikey_2,3000,2874,2874,2874,3510,3510,3510
S1,45,niah_multikey_2,3000,2972,2972,2972,3627,3627,3627
S1,46,niah_multikey_2,3000,2970,2970,2970,3625,3625,3625
S1,47,niah_multikey_2,3000,2956,2956,2956,3611,3611,3611
S1,48,niah_multikey_2,3000,2952,2952,2952,3607,3607,3607
S1,49,niah_multikey_2,3000,2972,2972,2972,3628,3628,3628
S1,50,niah_multikey_2,3000,2967,2967,2967,3624,3624,3624
S1,51,vt,3000,3061,3061,3061,3075,3075,3075
S1,52,vt,3000,3062,3062,3062,3076,3076,3076
S1,53,vt,3000,3060,3060,3060,3074,3074,3074
S1,54,vt,3000,3063,3063,3063,3080,3080,3080
S1,55,vt,3000,3059,3059,3059,3073,3073,3073
S1,56,vt,3000,3060,3060,3060,3074,3074,3074
S1,57,vt,3000,3060,3060,3060,3074,3074,3074
S1,58,vt,3000,3062,3062,3062,3076,3076,3076
S1,59,vt,3000,3060,3060,3060,3074,3074,3074
S1,60,vt,3000,3067,3067,3067,3081,3081,3081
S1,61,niah_single_1,5000,4959,4959,4959,4962,4962,4962
S1,62,niah_single_1,5000,4955,4955,4955,4958,4958,4958
S1,63,niah_single_1,5000,4961,4961,4961,4964,4964,4964
S1,64,niah_single_1,5000,4961,4961,4961,4964,4964,4964
S1,65,niah_single_1,5000,4959,4959,4959,4962,4962,4962
S1,66,niah_single_1,5000,4959,4959,4959,4962,4962,4962
S1,67,niah_single_1,5000,4959,4959,4959,4962,4962,4962
S1,68,niah_single_1,5000,4957,4957,4957,4960,4960,4960
S1,69,niah_single_1,5000,4959,4959,4959,4962,4962,4962
S1,70,niah_single_1,5000,4957,4957,4957,4960,4960,4960
S1,71,niah_multikey_2,5000,4974,4974,4974,6082,6082,6082
S1,72,niah_multikey_2,5000,4971,4971,4971,6080,6080,6080
S1,73,niah_multikey_2,5000,4954,4954,4954,6061,6061,6061
S1,74,niah_multikey_2,5000,4974,4974,4974,6082,6082,6082
S1,75,niah_multikey_2,5000,4970,4970,4970,6078,6078,6078
S1,76,niah_multikey_2,5000,4972,4972,4972,6079,6079,6079
S1,77,niah_multikey_2,5000,4542,4542,4542,5551,5551,5551
S1,78,niah_multikey_2,5000,4527,4527,4527,5535,5535,5535
S1,79,niah_multikey_2,5000,4538,4538,4538,5546,5546,5546
S1,80,niah_multikey_2,5000,4939,4939,4939,6047,6047,6047
S1,81,vt,5000,5050,5050,5050,5064,5064,5064
S1,82,vt,5000,5054,5054,5054,5068,5068,5068
S1,83,vt,5000,5060,5060,5060,5074,5074,5074
S1,84,vt,5000,5051,5051,5051,5065,5065,5065
S1,85,vt,5000,5054,5054,5054,5068,5068,5068
S1,86,vt,5000,5052,5052,5052,5066,5066,5066
S1,87,vt,5000,5054,5054,5054,5068,5068,5068
S1,88,vt,5000,5055,5055,5055,5069,5069,5069
S1,89,vt,5000,5053,5053,5053,5067,5067,5067
S1,90,vt,5000,5060,5060,5060,5076,5076,5076
S2,1,ifeval,,41,41,41,40,40,40
S2,2,ifeval,,43,43,43,42,42,42
S2,3,ifeval,,46,46,46,46,46,46
S2,4,ifeval,,46,46,46,47,47,47
S2,5,ifeval,,45,45,45,44,44,44
S2,6,ifeval,,47,47,47,46,46,46
S2,7,ifeval,,48,48,48,47,47,47
S2,8,ifeval,,54,54,54,53,53,53
S2,9,ifeval,,42,42,42,44,44,44
S2,10,ifeval,,51,51,51,50,50,50
S2,11,ifeval,,46,46,46,45,45,45
S2,12,ifeval,,46,46,46,45,45,45
S2,13,ifeval,,51,51,51,51,51,51
S2,14,ifeval,,60,60,60,59,59,59
S2,15,ifeval,,47,47,47,47,47,47
S2,16,ifeval,,44,44,44,44,44,44
S2,17,ifeval,,55,55,55,55,55,55
S2,18,ifeval,,56,56,56,55,55,55
S2,19,ifeval,,52,52,52,51,51,51
S2,20,ifeval,,50,50,50,50,50,50
S2,21,ifeval,,46,46,46,46,46,46
S2,22,ifeval,,40,40,40,39,39,39
S2,23,ifeval,,51,51,51,50,50,50
S2,24,ifeval,,42,42,42,41,41,41
S2,25,ifeval,,54,54,54,53,53,53
S2,26,ifeval,,47,47,47,46,46,46
S2,27,ifeval,,50,50,50,49,49,49
S2,28,ifeval,,57,57,57,56,56,56
S2,29,ifeval,,49,49,49,48,48,48
S2,30,ifeval,,40,40,40,39,39,39
